,Vacancy,Link,Company,City,Salary_min,Salary_max,Currency
136,QA инженер - тестировщик,https://hh.ru/vacancy/36935593?query=python,ООО Профессиональные Кадровые Решения ,Москва,70000,140000,руб.
137,CG программист (Python/C++),https://hh.ru/vacancy/26680990?query=python, Группа компаний «Триумф» ,"Москва, Пролетарская",,,
138,Team lead Python developer,https://hh.ru/vacancy/35846186?query=python, BestDoctor ,Москва,180000,250000,руб.
139,Data Science / Data Engineer,https://hh.ru/vacancy/36915671?query=python, DPD в России ,"Москва, Преображенская площадь и еще 1 ",,,
140,Team Lead / Senior python developer (формируем команду),https://hh.ru/vacancy/37007897?query=python," Агентство 21 век, КЦ ",Москва,,,
141,IT руководитель команды (направление Data Science),https://hh.ru/vacancy/33975505?query=python, ДомКлик ,"Москва, Кутузовская",,,
142,Senior Data scientist (NLP/NLU),https://hh.ru/vacancy/33481272?query=python, ДомКлик ,Москва,,,
143,Full-Stack Web-Developer (Python / Odoo),https://hh.ru/vacancy/34649894?query=python, NPBFX Limited ,"Москва, Павелецкая",100000,200000,руб.
144,"Аналитик данных/Data scientist (OWL,Graph Data)",https://hh.ru/vacancy/36988387?query=python, Сбербанк для экспертов ,Москва,,,
145,Разработчик Python,https://hh.ru/vacancy/36866064?query=python,"АО АО ИК АК БАРС Финанс, ",Москва,,,
146,Python developer (Data Engineer),https://hh.ru/vacancy/33647219?query=python, Admitad ,"Москва, Дмитровская",,,
147,Backend Developer (python/go),https://hh.ru/vacancy/36714461?query=python, DEEP & HARD ,Москва,160000,,руб.
148,Разработчик Python,https://hh.ru/vacancy/36891480?query=python, ADV/web-engineering ,"Москва, Дмитровская",,,
149,TeamLead Python разработки / руководитель группы разработчиков (Python),https://hh.ru/vacancy/36651446?query=python, X5 RETAIL GROUP ,"Москва, Волгоградский проспект",,,
150,"Разработчик на Python (Senior), Москва",https://hh.ru/vacancy/36532399?query=python, DriverPack Solution ,Москва,,300000,руб.
151,"QA Automation Lead (C#/Python, AWS, $)",https://hh.ru/vacancy/36818778?query=python,ООО Представительство компании Altium Europe GMBH ,"Москва, Белорусская",,,
152,Python-разработчик (Senior),https://hh.ru/vacancy/36806796?query=python, РБК ,"Москва, Калужская",,,
153,Data Scientist (Computer Vision),https://hh.ru/vacancy/34982073?query=python, Тинькофф ,"Москва, Водный стадион",,,
